#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Haploinsufficiency PMID4	Haploinsufficiency PMID5	Haploinsufficiency PMID6	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Triplosensitivity PMID4	Triplosensitivity PMID5	Triplosensitivity PMID6	Date Last Evaluated	Haploinsufficiency Disease ID	Triplosensitivity Disease ID
A4GALT	53947	22q13.2	chr22:43088127-43117307	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-12-11		
AAGAB	79719	15q23	chr15:67493005-67547536	3	Sufficient evidence for dosage pathogenicity	23064416	23000146					0	No evidence available							2013-02-28	MONDO:0007858	
AARS1	16	16q22.1	chr16:70286201-70323409	0	No evidence available							0	No evidence available							2018-01-11		
ABAT	18	16p13.2	chr16:8768474-8878427	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013166	
ABCB11	8647	2q31.1	chr2:169777291-169887834	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2020-07-08	MONDO:0011156	
ABCB4	5244	7q21.12	chr7:87031012-87104996	3	Sufficient evidence for dosage pathogenicity	21989363	23684896	25544413				0	No evidence available							2024-04-16	MONDO:0010939	
ABCC8	6833	11p15.1	chr11:17414045-17498392	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-02-24	MONDO:0009734	
ABCD1	215	Xq28	chrX:152990311-153010209	3	Sufficient evidence for dosage pathogenicity	8040304	23835273	25835712	7825602			0	No evidence available							2020-12-02	MONDO:0018544	
ABCG8	64241	2p21	chr2:44066110-44110127	30	Gene associated with autosomal recessive phenotype	11099417	15210841	16029460	28521186	24166850	32166861	0	No evidence available							2025-02-03	MONDO:0008863	
ABHD12	26090	20p11.21	chr20:25275379-25371471	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-12-11	MONDO:0012984	
ABR	29	17p13.3	chr17:906759-1133016	0	No evidence available							0	No evidence available							2012-09-05		
ABRAXAS1	84142	4q21.23	chr4:84380670-84406253	0	No evidence available	31159747	37198153	29484706				0	No evidence available							2023-07-18		
ACAD8	27034	11q25	chr11:134123462-134135749	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-12-11	MONDO:0012648	
ACADM	34	1p31.1	chr1:76190394-76229364	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008721	
ACADSB	36	10q26.13	chr10:124768522-124817806	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0012392	
ACADVL	37	17p13.1	chr17:7120444-7128585	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008723	
ACD	65057	16q22.1	chr16:67691415-67694163	0	No evidence available							0	No evidence available							2025-04-24		
ACOX1	51	17q25.1	chr17:73937588-73975247	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-11-20	MONDO:0009919	
ACP5	54	19p13.2	chr19:11685475-11689790	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011939	
ACSF3	197322	16q24.3	chr16:89160260-89222641	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013661	
ACSL4	2182	Xq23	chrX:108884564-108976486	1	Little evidence for dosage pathogenicity	11889465	12525535	21584729	31481330	26350204	22581936	0	No evidence available							2021-04-28	MONDO:0010313	
ACTA2	59	10q23.31	chr10:90694831-90751154	1	Little evidence for dosage pathogenicity	32209317	30056620	34498425				0	No evidence available							2022-09-28	MONDO:0019625	
ACTB	60	7p22.1	chr7:5566779-5570232	0	No evidence available	29220674	31898838	30315159	29274487			0	No evidence available							2022-02-08	MONDO:0000508	
ACTC1	70	15q14	chr15:35082431-35087750	1	Little evidence for dosage pathogenicity	17947298	34495297	32233023				0	No evidence available							2024-09-10	MONDO:0100547	
ACTL6B	51412	7q22.1	chr7:100240720-100254071	30	Gene associated with autosomal recessive phenotype	32312822	30656450	31031012				Not yet evaluated	Not yet evaluated							2022-11-23	MONDO:0100062	
ACVRL1	94	12q13.13	chr12:52301288-52317145	3	Sufficient evidence for dosage pathogenicity	20414677						0	No evidence available							2025-02-11	MONDO:0010880	
ADA2	51816	22q11.1	chr22:17659680-17702738	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014306	
ADAM9	8754	8p11.22	chr8:38854492-38962780	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-12-11	MONDO:0013002	
ADAMTS13	11093	9q34.2	chr9:136279457-136324508	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0010122	
ADAMTS17	170691	15q26.3	chr15:100511642-100882180	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013176	
ADAMTS18	170692	16q23.1	chr16:77316025-77468931	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014195	
ADAMTS2	9509	5q35.3	chr5:178537854-178772462	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009161	
ADAMTSL2	9719	9q34.2	chr9:136397286-136440641	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009269	
ADGRG1	9289	16q21	chr16:57653650-57699479	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-05-17	MONDO:0011738	
